   80.00000    80.00000    96.08040    99.97050   100.00000                                                                                                                                             
   81.00000    81.00000    96.46734    99.97730   100.00000                                                                                                                                             
   82.00000    82.00000    96.83417    99.98278   100.00000                                                                                                                                             
   83.00000    83.00000    97.18090    99.98715   100.00000                                                                                                                                             
   84.00000    84.00000    97.50754    99.99058   100.00000                                                                                                                                             
   85.00000    85.00000    97.81407    99.99324   100.00000                                                                                                                                             
   86.00000    86.00000    98.10050    99.99526   100.00000                                                                                                                                             
   87.00000    87.00000    98.36683    99.99676   100.00000                                                                                                                                             
   88.00000    88.00000    98.61307    99.99786   100.00000                                                                                                                                             
   89.00000    89.00000    98.83920    99.99864   100.00000                                                                                                                                             
   90.00000    90.00000    99.04523    99.99917   100.00000                                                                                                                                             
   91.00000    91.00000    99.23116    99.99952   100.00000                                                                                                                                             
   92.00000    92.00000    99.39698    99.99974   100.00000                                                                                                                                             
   93.00000    93.00000    99.54271    99.99987   100.00000                                                                                                                                             
   94.00000    94.00000    99.66834    99.99994   100.00000                                                                                                                                             
   95.00000    95.00000    99.77387    99.99998   100.00000                                                                                                                                             
   96.00000    96.00000    99.85930    99.99999   100.00000                                                                                                                                             
   97.00000    97.00000    99.92462   100.00000   100.00000                                                                                                                                             
   98.00000    98.00000    99.96985   100.00000   100.00000                                                                                                                                             
   99.00000    99.00000    99.99497   100.00000   100.00000                                                                                                                                             
  100.00000   100.00000   100.00000   100.00000   100.00000                                                                                                                                             
