
     LOW_X     HIGH_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- ---------- -----------
   .100000    .198000     970000                  29400
   .100000    .296000     970000          0       58800
   .100000    .394000     970000          0       88200
   .100000    .492000     970000          0      117600
   .100000    .590000     970000          0      147000
   .100000    .688000     970000          0      176400
   .100000    .786000     970000          0      205800
   .100000    .884000     970000          0      235200
   .100000    .982000     970000          0      264600
   .100000   1.080000     970000          0      294000
   .100000   1.178000     970000          0      323400
   .100000   1.276000     970000          0      352800
   .100000   1.374000     970000          0      382200
   .100000   1.472000     970000          0      411600
   .100000   1.570000     970000          0      441000
   .100000   1.668000     970000          0      470400
   .100000   1.766000     970000          0      499800
   .100000   1.864000     970000          0      529200
   .100000   1.962000     970000          0      558600
   .100000   2.060000     970000          0      588000
   .100000   2.158000     970000          0      617400
   .100000   2.256000     970000          0      646800
   .100000   2.354000     970000          0      676200
   .100000   2.452000     970000          0      705600
   .100000   2.550000     970000          0      735000
   .100000   2.648000     970000          0      764400
   .100000   2.746000     970000          0      793800
   .100000   2.844000     970000          0      823200
   .100000   2.942000     970000          0      852600
   .100000   3.040000     970000          0      882000
   .100000   3.138000     970000          0      911400
   .100000   3.236000     970000          0      940800
   .100000   3.334000     970200        200      970200
   .100000   3.432000     999600      29400      999600
   .100000   3.530000    1029000      29400     1029000
   .100000   3.628000    1058400      29400     1058400
   .100000   3.726000    1087800      29400     1087800
   .100000   3.824000    1117200      29400     1117200
   .100000   3.922000    1146600      29400     1146600
   .100000   4.020000    1176000      29400     1176000
   .100000   4.118000    1205400      29400     1205400
   .100000   4.216000    1234800      29400     1234800
   .100000   4.314000    1264200      29400     1264200
   .100000   4.412000    1293600      29400     1293600
   .100000   4.510000    1323000      29400     1323000
   .100000   4.608000    1352400      29400     1352400
   .100000   4.706000    1381800      29400     1381800
   .100000   4.804000    1411200      29400     1411200
   .100000   4.902000    1440600      29400     1440600
   .100000   5.000000    1470000      29400     1470000
   .100000   5.098000    1499400      29400     1499400
   .100000   5.196000    1528800      29400     1528800
   .100000   5.294000    1558200      29400     1558200
   .100000   5.392000    1587600      29400     1587600
   .100000   5.490000    1617000      29400     1617000
   .100000   5.588000    1646400      29400     1646400
   .100000   5.686000    1675800      29400     1675800
   .100000   5.784000    1705200      29400     1705200
   .100000   5.882000    1734600      29400     1734600
   .100000   5.980000    1764000      29400     1764000
   .100000   6.078000    1793400      29400     1793400
   .100000   6.176000    1822800      29400     1822800
   .100000   6.274000    1852200      29400     1852200
   .100000   6.372000    1881600      29400     1881600
   .100000   6.470000    1911000      29400     1911000
   .100000   6.568000    1940400      29400     1940400
   .100000   6.666000    1969800      29400     1969800
   .100000   6.764000    1999200      29400     1999200
   .100000   6.862000    2028600      29400     2028600
   .100000   6.960000    2058000      29400     2058000
   .100000   7.058000    2087400      29400     2087400
   .100000   7.156000    2116800      29400     2116800
   .100000   7.254000    2146200      29400     2146200
   .100000   7.352000    2175600      29400     2175600
   .100000   7.450000    2205000      29400     2205000
   .100000   7.548000    2234400      29400     2234400
   .100000   7.646000    2263800      29400     2263800
   .100000   7.744000    2293200      29400     2293200
   .100000   7.842000    2322600      29400     2322600
   .100000   7.940000    2352000      29400     2352000
   .100000   8.038000    2381400      29400     2381400
   .100000   8.136000    2410800      29400     2410800
   .100000   8.234000    2440200      29400     2440200
   .100000   8.332000    2469600      29400     2469600
   .100000   8.430000    2499000      29400     2499000
   .100000   8.528000    2528400      29400     2528400
   .100000   8.626000    2557800      29400     2557800
   .100000   8.724000    2587200      29400     2587200
   .100000   8.822000    2616600      29400     2616600
   .100000   8.920000    2646000      29400     2646000
   .100000   9.018000    2675400      29400     2675400
   .100000   9.116000    2704800      29400     2704800
   .100000   9.214000    2734200      29400     2734200
   .100000   9.312000    2763600      29400     2763600
   .100000   9.410000    2793000      29400     2793000
   .100000   9.508000    2822400      29400     2822400
   .100000   9.606000    2851800      29400     2851800
   .100000   9.704000    2881200      29400     2881200
   .100000   9.802000    2910600      29400     2910600
   .100000   9.900000    2940000      29400     2940000
