
     LOW_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- -----------
   .100000    1030300                2000300
   .197990    1059697      29397     2000300
   .295980    1089094      29397     2000300
   .393970    1118491      29397     2000300
   .491960    1147888      29397     2000300
   .589950    1177285      29397     2000300
   .687940    1206682      29397     2000300
   .785930    1236079      29397     2000300
   .883920    1265476      29397     2000300
   .981910    1294873      29397     2000300
  1.079900    1324270      29397     2000300
  1.177890    1353667      29397     2000300
  1.275880    1383064      29397     2000300
  1.373870    1412461      29397     2000300
  1.471860    1441858      29397     2000300
  1.569850    1471255      29397     2000300
  1.667840    1500652      29397     2000300
  1.765830    1530049      29397     2000300
  1.863820    1559446      29397     2000300
  1.961810    1588843      29397     2000300
  2.059800    1618240      29397     2000300
  2.157790    1647637      29397     2000300
  2.255780    1677034      29397     2000300
  2.353770    1706431      29397     2000300
  2.451760    1735828      29397     2000300
  2.549750    1765225      29397     2000300
  2.647740    1794622      29397     2000300
  2.745730    1824019      29397     2000300
  2.843720    1853416      29397     2000300
  2.941710    1882813      29397     2000300
  3.039700    1912210      29397     2000300
  3.137690    1941607      29397     2000300
  3.235680    1971004      29397     2000300
  3.333670    2000300      29296     2000300
  3.431660    2000300          0     2000300
  3.529650    2000300          0     2000300
  3.627640    2000300          0     2000300
  3.725630    2000300          0     2000300
  3.823620    2000300          0     2000300
  3.921610    2000300          0     2000300
  4.019600    2000300          0     2000300
  4.117590    2000300          0     2000300
  4.215580    2000300          0     2000300
  4.313570    2000300          0     2000300
  4.411560    2000300          0     2000300
  4.509550    2000300          0     2000300
  4.607540    2000300          0     2000300
  4.705530    2000300          0     2000300
  4.803520    2000300          0     2000300
  4.901510    2000300          0     2000300
  4.999500    2000300          0     2000300
  5.097490    2000300          0     2000300
  5.195480    2000300          0     2000300
  5.293470    2000300          0     2000300
  5.391460    2000300          0     2000300
  5.489450    2000300          0     2000300
  5.587440    2000300          0     2000300
  5.685430    2000300          0     2000300
  5.783420    2000300          0     2000300
  5.881410    2000300          0     2000300
  5.979400    2000300          0     2000300
  6.077390    2000300          0     2000300
  6.175380    2000300          0     2000300
  6.273370    2000300          0     2000300
  6.371360    2000300          0     2000300
  6.469350    2000300          0     2000300
  6.567340    2000300          0     2000300
  6.665330    2000300          0     2000300
  6.763320    1971004     -29296     2000300
  6.861310    1941607     -29397     2000300
  6.959300    1912210     -29397     2000300
  7.057290    1882813     -29397     2000300
  7.155280    1853416     -29397     2000300
  7.253270    1824019     -29397     2000300
  7.351260    1794622     -29397     2000300
  7.449250    1765225     -29397     2000300
  7.547240    1735828     -29397     2000300
  7.645230    1706431     -29397     2000300
  7.743220    1677034     -29397     2000300
  7.841210    1647637     -29397     2000300
  7.939200    1618240     -29397     2000300
  8.037190    1588843     -29397     2000300
  8.135180    1559446     -29397     2000300
  8.233170    1530049     -29397     2000300
  8.331160    1500652     -29397     2000300
  8.429150    1471255     -29397     2000300
  8.527140    1441858     -29397     2000300
  8.625130    1412461     -29397     2000300
  8.723120    1383064     -29397     2000300
  8.821110    1353667     -29397     2000300
  8.919100    1324270     -29397     2000300
  9.017090    1294873     -29397     2000300
  9.115080    1265476     -29397     2000300
  9.213070    1236079     -29397     2000300
  9.311060    1206682     -29397     2000300
  9.409050    1177285     -29397     2000300
  9.507040    1147888     -29397     2000300
  9.605030    1118491     -29397     2000300
  9.703020    1089094     -29397     2000300
  9.801010    1059697     -29397     2000300
  9.899000    1030300     -29397     2000300
