
     LOW_X     HIGH_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- ---------- -----------
   .100000    .198000     960000                  39200
   .100000    .296000     960000          0       78400
   .100000    .394000     960000          0      117600
   .100000    .492000     960000          0      156800
   .100000    .590000     960000          0      196000
   .100000    .688000     960000          0      235200
   .100000    .786000     960000          0      274400
   .100000    .884000     960000          0      313600
   .100000    .982000     960000          0      352800
   .100000   1.080000     960000          0      392000
   .100000   1.178000     960000          0      431200
   .100000   1.276000     960000          0      470400
   .100000   1.374000     960000          0      509600
   .100000   1.472000     960000          0      548800
   .100000   1.570000     960000          0      588000
   .100000   1.668000     960000          0      627200
   .100000   1.766000     960000          0      666400
   .100000   1.864000     960000          0      705600
   .100000   1.962000     960000          0      744800
   .100000   2.060000     960000          0      784000
   .100000   2.158000     960000          0      823200
   .100000   2.256000     960000          0      862400
   .100000   2.354000     960000          0      901600
   .100000   2.452000     960000          0      940800
   .100000   2.550000     980000      20000      980000
   .100000   2.648000    1019200      39200     1019200
   .100000   2.746000    1058400      39200     1058400
   .100000   2.844000    1097600      39200     1097600
   .100000   2.942000    1136800      39200     1136800
   .100000   3.040000    1176000      39200     1176000
   .100000   3.138000    1215200      39200     1215200
   .100000   3.236000    1254400      39200     1254400
   .100000   3.334000    1293600      39200     1293600
   .100000   3.432000    1332800      39200     1332800
   .100000   3.530000    1372000      39200     1372000
   .100000   3.628000    1411200      39200     1411200
   .100000   3.726000    1450400      39200     1450400
   .100000   3.824000    1489600      39200     1489600
   .100000   3.922000    1528800      39200     1528800
   .100000   4.020000    1568000      39200     1568000
   .100000   4.118000    1607200      39200     1607200
   .100000   4.216000    1646400      39200     1646400
   .100000   4.314000    1685600      39200     1685600
   .100000   4.412000    1724800      39200     1724800
   .100000   4.510000    1764000      39200     1764000
   .100000   4.608000    1803200      39200     1803200
   .100000   4.706000    1842400      39200     1842400
   .100000   4.804000    1881600      39200     1881600
   .100000   4.902000    1920800      39200     1920800
   .100000   5.000000    1960000      39200     1960000
   .100000   5.098000    1999200      39200     1999200
   .100000   5.196000    2038400      39200     2038400
   .100000   5.294000    2077600      39200     2077600
   .100000   5.392000    2116800      39200     2116800
   .100000   5.490000    2156000      39200     2156000
   .100000   5.588000    2195200      39200     2195200
   .100000   5.686000    2234400      39200     2234400
   .100000   5.784000    2273600      39200     2273600
   .100000   5.882000    2312800      39200     2312800
   .100000   5.980000    2352000      39200     2352000
   .100000   6.078000    2391200      39200     2391200
   .100000   6.176000    2430400      39200     2430400
   .100000   6.274000    2469600      39200     2469600
   .100000   6.372000    2508800      39200     2508800
   .100000   6.470000    2548000      39200     2548000
   .100000   6.568000    2587200      39200     2587200
   .100000   6.666000    2626400      39200     2626400
   .100000   6.764000    2665600      39200     2665600
   .100000   6.862000    2704800      39200     2704800
   .100000   6.960000    2744000      39200     2744000
   .100000   7.058000    2783200      39200     2783200
   .100000   7.156000    2822400      39200     2822400
   .100000   7.254000    2861600      39200     2861600
   .100000   7.352000    2900800      39200     2900800
   .100000   7.450000    2940000      39200     2940000
   .100000   7.548000    2979200      39200     2979200
   .100000   7.646000    3018400      39200     3018400
   .100000   7.744000    3057600      39200     3057600
   .100000   7.842000    3096800      39200     3096800
   .100000   7.940000    3136000      39200     3136000
   .100000   8.038000    3175200      39200     3175200
   .100000   8.136000    3214400      39200     3214400
   .100000   8.234000    3253600      39200     3253600
   .100000   8.332000    3292800      39200     3292800
   .100000   8.430000    3332000      39200     3332000
   .100000   8.528000    3371200      39200     3371200
   .100000   8.626000    3410400      39200     3410400
   .100000   8.724000    3449600      39200     3449600
   .100000   8.822000    3488800      39200     3488800
   .100000   8.920000    3528000      39200     3528000
   .100000   9.018000    3567200      39200     3567200
   .100000   9.116000    3606400      39200     3606400
   .100000   9.214000    3645600      39200     3645600
   .100000   9.312000    3684800      39200     3684800
   .100000   9.410000    3724000      39200     3724000
   .100000   9.508000    3763200      39200     3763200
   .100000   9.606000    3802400      39200     3802400
   .100000   9.704000    3841600      39200     3841600
   .100000   9.802000    3880800      39200     3880800
   .100000   9.900000    3920000      39200     3920000
