
     LOW_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- -----------
   .100000     960000                    400
   .197990     920804     -39196         400
   .295980     881608     -39196         400
   .393970     842412     -39196         400
   .491960     803216     -39196         400
   .589950     764020     -39196         400
   .687940     724824     -39196         400
   .785930     685628     -39196         400
   .883920     646432     -39196         400
   .981910     607236     -39196         400
  1.079900     568040     -39196         400
  1.177890     528844     -39196         400
  1.275880     489648     -39196         400
  1.373870     450452     -39196         400
  1.471860     411256     -39196         400
  1.569850     372060     -39196         400
  1.667840     332864     -39196         400
  1.765830     293668     -39196         400
  1.863820     254472     -39196         400
  1.961810     215276     -39196         400
  2.059800     176080     -39196         400
  2.157790     136884     -39196         400
  2.255780      97688     -39196         400
  2.353770      58492     -39196         400
  2.451760      19296     -39196         400
  2.549750        400     -18896         400
  2.647740        400          0         400
  2.745730        400          0         400
  2.843720        400          0         400
  2.941710        400          0         400
  3.039700        400          0         400
  3.137690        400          0         400
  3.235680        400          0         400
  3.333670        400          0         400
  3.431660        400          0         400
  3.529650        400          0         400
  3.627640        400          0         400
  3.725630        400          0         400
  3.823620        400          0         400
  3.921610        400          0         400
  4.019600        400          0         400
  4.117590        400          0         400
  4.215580        400          0         400
  4.313570        400          0         400
  4.411560        400          0         400
  4.509550        400          0         400
  4.607540        400          0         400
  4.705530        400          0         400
  4.803520        400          0         400
  4.901510        400          0         400
  4.999500        400          0         400
  5.097490        400          0         400
  5.195480        400          0         400
  5.293470        400          0         400
  5.391460        400          0         400
  5.489450        400          0         400
  5.587440        400          0         400
  5.685430        400          0         400
  5.783420        400          0         400
  5.881410        400          0         400
  5.979400        400          0         400
  6.077390        400          0         400
  6.175380        400          0         400
  6.273370        400          0         400
  6.371360        400          0         400
  6.469350        400          0         400
  6.567340        400          0         400
  6.665330        400          0         400
  6.763320        400          0         400
  6.861310        400          0         400
  6.959300        400          0         400
  7.057290        400          0         400
  7.155280        400          0         400
  7.253270        400          0         400
  7.351260        400          0         400
  7.449250        400          0         400
  7.547240      19296      18896         400
  7.645230      58492      39196         400
  7.743220      97688      39196         400
  7.841210     136884      39196         400
  7.939200     176080      39196         400
  8.037190     215276      39196         400
  8.135180     254472      39196         400
  8.233170     293668      39196         400
  8.331160     332864      39196         400
  8.429150     372060      39196         400
  8.527140     411256      39196         400
  8.625130     450452      39196         400
  8.723120     489648      39196         400
  8.821110     528844      39196         400
  8.919100     568040      39196         400
  9.017090     607236      39196         400
  9.115080     646432      39196         400
  9.213070     685628      39196         400
  9.311060     724824      39196         400
  9.409050     764020      39196         400
  9.507040     803216      39196         400
  9.605030     842412      39196         400
  9.703020     881608      39196         400
  9.801010     920804      39196         400
  9.899000     960000      39196         400
