
     LOW_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- -----------
   .100000     980000                    200
   .197990     960402     -19598         200
   .295980     940804     -19598         200
   .393970     921206     -19598         200
   .491960     901608     -19598         200
   .589950     882010     -19598         200
   .687940     862412     -19598         200
   .785930     842814     -19598         200
   .883920     823216     -19598         200
   .981910     803618     -19598         200
  1.079900     784020     -19598         200
  1.177890     764422     -19598         200
  1.275880     744824     -19598         200
  1.373870     725226     -19598         200
  1.471860     705628     -19598         200
  1.569850     686030     -19598         200
  1.667840     666432     -19598         200
  1.765830     646834     -19598         200
  1.863820     627236     -19598         200
  1.961810     607638     -19598         200
  2.059800     588040     -19598         200
  2.157790     568442     -19598         200
  2.255780     548844     -19598         200
  2.353770     529246     -19598         200
  2.451760     509648     -19598         200
  2.549750     490050     -19598         200
  2.647740     470452     -19598         200
  2.745730     450854     -19598         200
  2.843720     431256     -19598         200
  2.941710     411658     -19598         200
  3.039700     392060     -19598         200
  3.137690     372462     -19598         200
  3.235680     352864     -19598         200
  3.333670     333266     -19598         200
  3.431660     313668     -19598         200
  3.529650     294070     -19598         200
  3.627640     274472     -19598         200
  3.725630     254874     -19598         200
  3.823620     235276     -19598         200
  3.921610     215678     -19598         200
  4.019600     196080     -19598         200
  4.117590     176482     -19598         200
  4.215580     156884     -19598         200
  4.313570     137286     -19598         200
  4.411560     117688     -19598         200
  4.509550      98090     -19598         200
  4.607540      78492     -19598         200
  4.705530      58894     -19598         200
  4.803520      39296     -19598         200
  4.901510      19698     -19598         200
  4.999500        200     -19498         200
  5.097490      19698      19498         200
  5.195480      39296      19598         200
  5.293470      58894      19598         200
  5.391460      78492      19598         200
  5.489450      98090      19598         200
  5.587440     117688      19598         200
  5.685430     137286      19598         200
  5.783420     156884      19598         200
  5.881410     176482      19598         200
  5.979400     196080      19598         200
  6.077390     215678      19598         200
  6.175380     235276      19598         200
  6.273370     254874      19598         200
  6.371360     274472      19598         200
  6.469350     294070      19598         200
  6.567340     313668      19598         200
  6.665330     333266      19598         200
  6.763320     352864      19598         200
  6.861310     372462      19598         200
  6.959300     392060      19598         200
  7.057290     411658      19598         200
  7.155280     431256      19598         200
  7.253270     450854      19598         200
  7.351260     470452      19598         200
  7.449250     490050      19598         200
  7.547240     509648      19598         200
  7.645230     529246      19598         200
  7.743220     548844      19598         200
  7.841210     568442      19598         200
  7.939200     588040      19598         200
  8.037190     607638      19598         200
  8.135180     627236      19598         200
  8.233170     646834      19598         200
  8.331160     666432      19598         200
  8.429150     686030      19598         200
  8.527140     705628      19598         200
  8.625130     725226      19598         200
  8.723120     744824      19598         200
  8.821110     764422      19598         200
  8.919100     784020      19598         200
  9.017090     803618      19598         200
  9.115080     823216      19598         200
  9.213070     842814      19598         200
  9.311060     862412      19598         200
  9.409050     882010      19598         200
  9.507040     901608      19598         200
  9.605030     921206      19598         200
  9.703020     940804      19598         200
  9.801010     960402      19598         200
  9.899000     980000      19598         200
