
     LOW_X     HIGH_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- ---------- -----------
   .100000    .198000    1039600                2019600
   .100000    .296000    1059200      19600     2039200
   .100000    .394000    1078800      19600     2058800
   .100000    .492000    1098400      19600     2078400
   .100000    .590000    1118000      19600     2098000
   .100000    .688000    1137600      19600     2117600
   .100000    .786000    1157200      19600     2137200
   .100000    .884000    1176800      19600     2156800
   .100000    .982000    1196400      19600     2176400
   .100000   1.080000    1216000      19600     2196000
   .100000   1.178000    1235600      19600     2215600
   .100000   1.276000    1255200      19600     2235200
   .100000   1.374000    1274800      19600     2254800
   .100000   1.472000    1294400      19600     2274400
   .100000   1.570000    1314000      19600     2294000
   .100000   1.668000    1333600      19600     2313600
   .100000   1.766000    1353200      19600     2333200
   .100000   1.864000    1372800      19600     2352800
   .100000   1.962000    1392400      19600     2372400
   .100000   2.060000    1412000      19600     2392000
   .100000   2.158000    1431600      19600     2411600
   .100000   2.256000    1451200      19600     2431200
   .100000   2.354000    1470800      19600     2450800
   .100000   2.452000    1490400      19600     2470400
   .100000   2.550000    1510000      19600     2490000
   .100000   2.648000    1529600      19600     2509600
   .100000   2.746000    1549200      19600     2529200
   .100000   2.844000    1568800      19600     2548800
   .100000   2.942000    1588400      19600     2568400
   .100000   3.040000    1608000      19600     2588000
   .100000   3.138000    1627600      19600     2607600
   .100000   3.236000    1647200      19600     2627200
   .100000   3.334000    1666800      19600     2646800
   .100000   3.432000    1686400      19600     2666400
   .100000   3.530000    1706000      19600     2686000
   .100000   3.628000    1725600      19600     2705600
   .100000   3.726000    1745200      19600     2725200
   .100000   3.824000    1764800      19600     2744800
   .100000   3.922000    1784400      19600     2764400
   .100000   4.020000    1804000      19600     2784000
   .100000   4.118000    1823600      19600     2803600
   .100000   4.216000    1843200      19600     2823200
   .100000   4.314000    1862800      19600     2842800
   .100000   4.412000    1882400      19600     2862400
   .100000   4.510000    1902000      19600     2882000
   .100000   4.608000    1921600      19600     2901600
   .100000   4.706000    1941200      19600     2921200
   .100000   4.804000    1960800      19600     2940800
   .100000   4.902000    1980400      19600     2960400
   .100000   5.000000    2000000      19600     2980000
   .100000   5.098000    2000000          0     2999600
   .100000   5.196000    2000000          0     3019200
   .100000   5.294000    2000000          0     3038800
   .100000   5.392000    2000000          0     3058400
   .100000   5.490000    2000000          0     3078000
   .100000   5.588000    2000000          0     3097600
   .100000   5.686000    2000000          0     3117200
   .100000   5.784000    2000000          0     3136800
   .100000   5.882000    2000000          0     3156400
   .100000   5.980000    2000000          0     3176000
   .100000   6.078000    2000000          0     3195600
   .100000   6.176000    2000000          0     3215200
   .100000   6.274000    2000000          0     3234800
   .100000   6.372000    2000000          0     3254400
   .100000   6.470000    2000000          0     3274000
   .100000   6.568000    2000000          0     3293600
   .100000   6.666000    2000000          0     3313200
   .100000   6.764000    2000000          0     3332800
   .100000   6.862000    2000000          0     3352400
   .100000   6.960000    2000000          0     3372000
   .100000   7.058000    2000000          0     3391600
   .100000   7.156000    2000000          0     3411200
   .100000   7.254000    2000000          0     3430800
   .100000   7.352000    2000000          0     3450400
   .100000   7.450000    2000000          0     3470000
   .100000   7.548000    2000000          0     3489600
   .100000   7.646000    2000000          0     3509200
   .100000   7.744000    2000000          0     3528800
   .100000   7.842000    2000000          0     3548400
   .100000   7.940000    2000000          0     3568000
   .100000   8.038000    2000000          0     3587600
   .100000   8.136000    2000000          0     3607200
   .100000   8.234000    2000000          0     3626800
   .100000   8.332000    2000000          0     3646400
   .100000   8.430000    2000000          0     3666000
   .100000   8.528000    2000000          0     3685600
   .100000   8.626000    2000000          0     3705200
   .100000   8.724000    2000000          0     3724800
   .100000   8.822000    2000000          0     3744400
   .100000   8.920000    2000000          0     3764000
   .100000   9.018000    2000000          0     3783600
   .100000   9.116000    2000000          0     3803200
   .100000   9.214000    2000000          0     3822800
   .100000   9.312000    2000000          0     3842400
   .100000   9.410000    2000000          0     3862000
   .100000   9.508000    2000000          0     3881600
   .100000   9.606000    2000000          0     3901200
   .100000   9.704000    2000000          0     3920800
   .100000   9.802000    2000000          0     3940400
   .100000   9.900000    2000000          0     3960000
