
     LOW_X     HIGH_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- ---------- -----------
   .100000    .198000    1059400                2029400
   .100000    .296000    1088800      29400     2058800
   .100000    .394000    1118200      29400     2088200
   .100000    .492000    1147600      29400     2117600
   .100000    .590000    1177000      29400     2147000
   .100000    .688000    1206400      29400     2176400
   .100000    .786000    1235800      29400     2205800
   .100000    .884000    1265200      29400     2235200
   .100000    .982000    1294600      29400     2264600
   .100000   1.080000    1324000      29400     2294000
   .100000   1.178000    1353400      29400     2323400
   .100000   1.276000    1382800      29400     2352800
   .100000   1.374000    1412200      29400     2382200
   .100000   1.472000    1441600      29400     2411600
   .100000   1.570000    1471000      29400     2441000
   .100000   1.668000    1500400      29400     2470400
   .100000   1.766000    1529800      29400     2499800
   .100000   1.864000    1559200      29400     2529200
   .100000   1.962000    1588600      29400     2558600
   .100000   2.060000    1618000      29400     2588000
   .100000   2.158000    1647400      29400     2617400
   .100000   2.256000    1676800      29400     2646800
   .100000   2.354000    1706200      29400     2676200
   .100000   2.452000    1735600      29400     2705600
   .100000   2.550000    1765000      29400     2735000
   .100000   2.648000    1794400      29400     2764400
   .100000   2.746000    1823800      29400     2793800
   .100000   2.844000    1853200      29400     2823200
   .100000   2.942000    1882600      29400     2852600
   .100000   3.040000    1912000      29400     2882000
   .100000   3.138000    1941400      29400     2911400
   .100000   3.236000    1970800      29400     2940800
   .100000   3.334000    2000200      29400     2970200
   .100000   3.432000    2029600      29400     2999600
   .100000   3.530000    2059000      29400     3029000
   .100000   3.628000    2088400      29400     3058400
   .100000   3.726000    2117800      29400     3087800
   .100000   3.824000    2147200      29400     3117200
   .100000   3.922000    2176600      29400     3146600
   .100000   4.020000    2206000      29400     3176000
   .100000   4.118000    2235400      29400     3205400
   .100000   4.216000    2264800      29400     3234800
   .100000   4.314000    2294200      29400     3264200
   .100000   4.412000    2323600      29400     3293600
   .100000   4.510000    2353000      29400     3323000
   .100000   4.608000    2382400      29400     3352400
   .100000   4.706000    2411800      29400     3381800
   .100000   4.804000    2441200      29400     3411200
   .100000   4.902000    2470600      29400     3440600
   .100000   5.000000    2500000      29400     3470000
   .100000   5.098000    2529400      29400     3499400
   .100000   5.196000    2558800      29400     3528800
   .100000   5.294000    2588200      29400     3558200
   .100000   5.392000    2617600      29400     3587600
   .100000   5.490000    2647000      29400     3617000
   .100000   5.588000    2676400      29400     3646400
   .100000   5.686000    2705800      29400     3675800
   .100000   5.784000    2735200      29400     3705200
   .100000   5.882000    2764600      29400     3734600
   .100000   5.980000    2794000      29400     3764000
   .100000   6.078000    2823400      29400     3793400
   .100000   6.176000    2852800      29400     3822800
   .100000   6.274000    2882200      29400     3852200
   .100000   6.372000    2911600      29400     3881600
   .100000   6.470000    2941000      29400     3911000
   .100000   6.568000    2970400      29400     3940400
   .100000   6.666000    2999800      29400     3969800
   .100000   6.764000    3000000        200     3999200
   .100000   6.862000    3000000          0     4028600
   .100000   6.960000    3000000          0     4058000
   .100000   7.058000    3000000          0     4087400
   .100000   7.156000    3000000          0     4116800
   .100000   7.254000    3000000          0     4146200
   .100000   7.352000    3000000          0     4175600
   .100000   7.450000    3000000          0     4205000
   .100000   7.548000    3000000          0     4234400
   .100000   7.646000    3000000          0     4263800
   .100000   7.744000    3000000          0     4293200
   .100000   7.842000    3000000          0     4322600
   .100000   7.940000    3000000          0     4352000
   .100000   8.038000    3000000          0     4381400
   .100000   8.136000    3000000          0     4410800
   .100000   8.234000    3000000          0     4440200
   .100000   8.332000    3000000          0     4469600
   .100000   8.430000    3000000          0     4499000
   .100000   8.528000    3000000          0     4528400
   .100000   8.626000    3000000          0     4557800
   .100000   8.724000    3000000          0     4587200
   .100000   8.822000    3000000          0     4616600
   .100000   8.920000    3000000          0     4646000
   .100000   9.018000    3000000          0     4675400
   .100000   9.116000    3000000          0     4704800
   .100000   9.214000    3000000          0     4734200
   .100000   9.312000    3000000          0     4763600
   .100000   9.410000    3000000          0     4793000
   .100000   9.508000    3000000          0     4822400
   .100000   9.606000    3000000          0     4851800
   .100000   9.704000    3000000          0     4881200
   .100000   9.802000    3000000          0     4910600
   .100000   9.900000    3000000          0     4940000
