
     LOW_X       CARD  CARD_DIFF CARD_STND_F
---------- ---------- ---------- -----------
   .100000    1020200                2000200
   .197990    1039798      19598     2000200
   .295980    1059396      19598     2000200
   .393970    1078994      19598     2000200
   .491960    1098592      19598     2000200
   .589950    1118190      19598     2000200
   .687940    1137788      19598     2000200
   .785930    1157386      19598     2000200
   .883920    1176984      19598     2000200
   .981910    1196582      19598     2000200
  1.079900    1216180      19598     2000200
  1.177890    1235778      19598     2000200
  1.275880    1255376      19598     2000200
  1.373870    1274974      19598     2000200
  1.471860    1294572      19598     2000200
  1.569850    1314170      19598     2000200
  1.667840    1333768      19598     2000200
  1.765830    1353366      19598     2000200
  1.863820    1372964      19598     2000200
  1.961810    1392562      19598     2000200
  2.059800    1412160      19598     2000200
  2.157790    1431758      19598     2000200
  2.255780    1451356      19598     2000200
  2.353770    1470954      19598     2000200
  2.451760    1490552      19598     2000200
  2.549750    1510150      19598     2000200
  2.647740    1529748      19598     2000200
  2.745730    1549346      19598     2000200
  2.843720    1568944      19598     2000200
  2.941710    1588542      19598     2000200
  3.039700    1608140      19598     2000200
  3.137690    1627738      19598     2000200
  3.235680    1647336      19598     2000200
  3.333670    1666934      19598     2000200
  3.431660    1686532      19598     2000200
  3.529650    1706130      19598     2000200
  3.627640    1725728      19598     2000200
  3.725630    1745326      19598     2000200
  3.823620    1764924      19598     2000200
  3.921610    1784522      19598     2000200
  4.019600    1804120      19598     2000200
  4.117590    1823718      19598     2000200
  4.215580    1843316      19598     2000200
  4.313570    1862914      19598     2000200
  4.411560    1882512      19598     2000200
  4.509550    1902110      19598     2000200
  4.607540    1921708      19598     2000200
  4.705530    1941306      19598     2000200
  4.803520    1960904      19598     2000200
  4.901510    1980502      19598     2000200
  4.999500    2000000      19498     2000200
  5.097490    1980502     -19498     2000200
  5.195480    1960904     -19598     2000200
  5.293470    1941306     -19598     2000200
  5.391460    1921708     -19598     2000200
  5.489450    1902110     -19598     2000200
  5.587440    1882512     -19598     2000200
  5.685430    1862914     -19598     2000200
  5.783420    1843316     -19598     2000200
  5.881410    1823718     -19598     2000200
  5.979400    1804120     -19598     2000200
  6.077390    1784522     -19598     2000200
  6.175380    1764924     -19598     2000200
  6.273370    1745326     -19598     2000200
  6.371360    1725728     -19598     2000200
  6.469350    1706130     -19598     2000200
  6.567340    1686532     -19598     2000200
  6.665330    1666934     -19598     2000200
  6.763320    1647336     -19598     2000200
  6.861310    1627738     -19598     2000200
  6.959300    1608140     -19598     2000200
  7.057290    1588542     -19598     2000200
  7.155280    1568944     -19598     2000200
  7.253270    1549346     -19598     2000200
  7.351260    1529748     -19598     2000200
  7.449250    1510150     -19598     2000200
  7.547240    1490552     -19598     2000200
  7.645230    1470954     -19598     2000200
  7.743220    1451356     -19598     2000200
  7.841210    1431758     -19598     2000200
  7.939200    1412160     -19598     2000200
  8.037190    1392562     -19598     2000200
  8.135180    1372964     -19598     2000200
  8.233170    1353366     -19598     2000200
  8.331160    1333768     -19598     2000200
  8.429150    1314170     -19598     2000200
  8.527140    1294572     -19598     2000200
  8.625130    1274974     -19598     2000200
  8.723120    1255376     -19598     2000200
  8.821110    1235778     -19598     2000200
  8.919100    1216180     -19598     2000200
  9.017090    1196582     -19598     2000200
  9.115080    1176984     -19598     2000200
  9.213070    1157386     -19598     2000200
  9.311060    1137788     -19598     2000200
  9.409050    1118190     -19598     2000200
  9.507040    1098592     -19598     2000200
  9.605030    1078994     -19598     2000200
  9.703020    1059396     -19598     2000200
  9.801010    1039798     -19598     2000200
  9.899000    1020200     -19598     2000200
